PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,HOA/MONTH
Single Family Residential,Prairie Village,66208,495000,4,2,Sue Car,1674,61419,1900,296,
Single Family Residential,Overland Park,66212,599000,6,3,Brookridge West,3142,16117,1978,191,
Single Family Residential,Overland Park,66221,595000,4,3.5,Amesbury Lake Grayson Mills,3244,11477,1999,183,55
Single Family Residential,Overland Park,66209,950000,4,4,Deer Creek,4831,18295,1989,197,79
Single Family Residential,Overland Park,66212,350000,3,2,Sylvan Grove,2163,8747,1960,162,
Single Family Residential,Overland Park,66214,350000,3,2,Westbrooke,1487,10054,1956,235,
Single Family Residential,Prairie Village,66208,304900,3,1,Prairie Village,987,8750,1950,309,
Single Family Residential,Lenexa,66215,469000,4,3,Century Estates South,3148,8276,1975,149,
Single Family Residential,Overland Park,66212,355000,3,2,Glenwood Heights,2072,18074,1954,171,
Townhouse,Leawood,66209,400000,3,3.5,Stoneybrook,2512,3659,1989,159,287
Single Family Residential,Overland Park,66013,425330,3,2,Southpointe,1518,9583,2024,280,150
Single Family Residential,Mission,66202,295000,3,2,Cunningham High,1680,35909,1988,176,
Single Family Residential,Overland Park,66214,440000,4,3,Wellington Sq.,2622,9147,1967,168,
Single Family Residential,Overland Park,66213,635000,4,4.5,Towner Place,3444,10515,1996,184,33
Single Family Residential,Overland Park,66213,499950,4,3.5,Windham Park Bridgestone,3058,9583,1991,163,46
Single Family Residential,Overland Park,66085,575000,4,3.5,The Wilderness,2632,9605,2001,218,83
Single Family Residential,Overland Park,66224,695000,5,3.5,Blackthorne Estates,3504,12961,2011,198,75
Condo/Co-op,Overland Park,66204,140000,1,1,Lowell Condo,840,,1964,167,250
Single Family Residential,Overland Park,66202,285000,3,2,Milburn View,1056,9583,1950,270,
Single Family Residential,Overland Park,66221,850000,6,5,Summerwood,4161,12748,2012,204,125
Single Family Residential,Overland Park,66206,372000,4,2,Indian Acres,2028,19854,1955,183,
Single Family Residential,Mission,66202,340000,2,3,Eleanora Height,1729,23958,1954,197,
Single Family Residential,Overland Park,66213,590000,3,2.5,Wheatley,2887,12196,2004,204,165
Single Family Residential,Overland Park,66221,795000,5,4.5,Somerset Brooke,5244,13350,2002,152,
Townhouse,Overland Park,66204,265000,2,1,Buckley Court - Townhomes at,930,6590,2009,285,302
Single Family Residential,Leawood,66224,985000,4,4.5,Iron Horse Estates,4900,13068,1999,201,88
Single Family Residential,Overland Park,66223,635000,4,4.5,Shadow Brook,3799,15261,2000,167,83
Single Family Residential,Overland Park,66207,399000,3,2.5,Nall Hills,2006,8940,1965,199,27
Single Family Residential,Overland Park,66212,335000,3,2,Cherokee Hills,1459,13068,1965,230,
Single Family Residential,Overland Park,66209,535000,4,3.5,Hawthorne Valley,2696,10301,1987,198,52
Single Family Residential,Overland Park,66207,450000,4,3,Beverly Estates,2690,13607,1962,167,
Single Family Residential,Overland Park,66207,400000,3,2,Rolling Hills,1368,11249,1959,292,
Condo/Co-op,Overland Park,66212,200000,2,2,The Orchards,1376,15285,1986,145,344
Single Family Residential,Overland Park,66213,549000,4,3.5,Bentwood Park,4063,10108,1997,135,58
Condo/Co-op,Overland Park,66212,175000,2,2,Gramercy Place,1168,21420,1970,150,355
Townhouse,Overland Park,66210,295000,2,2.5,Indian Creek Park Estates,1489,2835,1986,198,77
Single Family Residential,Overland Park,66204,299000,3,1,Milburn Fields,936,11039,1957,319,23
Townhouse,Overland Park,66213,415000,3,3.5,Hampton Court Nottingham,1933,10297,1987,215,376
Single Family Residential,Overland Park,66212,425000,4,2,Pinehurst,2207,14538,1971,193,
Single Family Residential,Overland Park,66212,289950,3,1.5,Regency Park,1375,11143,1962,211,24
Single Family Residential,Overland Park,66210,345000,3,2.5,Kimberly Downs,1609,15160,1985,214,
Single Family Residential,Leawood,66224,400000,2,2,Highland Villas,1612,3920,2002,248,682
Single Family Residential,Overland Park,66214,385000,4,3,Craigmont,2510,9382,1975,153,13
Single Family Residential,Overland Park,66210,430000,4,3,Cobblestone Park,2760,6560,1993,156,40
Single Family Residential,Overland Park,66214,299900,2,1,Highland Acres,878,14498,1961,342,
Single Family Residential,Overland Park,66209,605000,5,3.5,Wynnewood,3174,10434,1996,191,67
Townhouse,Overland Park,66210,322000,3,2.5,College Meadows,1611,4846,1983,200,80
Condo/Co-op,Overland Park,66085,345000,2,2,Wilderness- Haven,1262,38332,2018,273,320
Single Family Residential,Mission,66202,349900,2,3,Goodman Heights,1410,17424,1952,248,
Single Family Residential,Overland Park,66213,465000,4,3,Highland Village,2441,1829,1999,190,265
Single Family Residential,Overland Park,66223,550000,5,3.5,Kingston Lakes,3954,8800,1994,139,52
Townhouse,Overland Park,66214,440000,3,3.5,Regency at Oak Park,2917,3061,2005,151,495
Townhouse,Overland Park,66210,300000,3,1.5,College Park Estates,1312,4613,1983,229,
Condo/Co-op,Overland Park,66213,215000,1,1,Bedford Courts,827,8185,1987,260,386
Single Family Residential,Overland Park,66085,1000000,4,4,Sundance Ridge- Red Fox Run,3609,13115,2021,277,117
Single Family Residential,Overland Park,66221,599000,5,4.5,Wilshire South,4134,10550,2000,145,71
Single Family Residential,Overland Park,66221,605000,5,4.5,St. Andrews Place,3982,10905,2000,152,67
Single Family Residential,Overland Park,66202,400000,5,2.5,Quaker Ridge,1962,10890,1953,204,
Single Family Residential,Overland Park,66213,644000,4,4.5,Foxfield,3540,13854,1997,182,40
Single Family Residential,Olathe,66062,399500,2,2,Willowbrooke Villas,1377,3014,2004,290,430
Single Family Residential,Overland Park,66221,580000,4,3,Chapel Hill,2737,6636,2012,212,100
Condo/Co-op,Overland Park,66207,230000,3,2.5,Chalet,1344,689,1966,171,531
Condo/Co-op,Overland Park,66212,150000,1,1,Gramercy Place,834,21420,1970,180,259
Single Family Residential,Overland Park,66223,745000,4,4.5,Lionsgate,4352,9659,1999,171,133
Single Family Residential,Overland Park,66223,760000,4,5,Lionsgate- By the Lake,4457,11725,1998,171,
Single Family Residential,Overland Park,66223,775000,4,4.5,Lionsgate- By the Green,4494,12196,2002,172,140
Single Family Residential,Overland Park,66214,449950,4,2.5,Oak Park,1898,10333,1969,237,25
Single Family Residential,Prairie Village,66208,340000,3,1,Prairie Fields,1234,8124,1954,276,2
